Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200729,AK,2797,852,81,,83,366,103,68,48,1196,150,1215,1432,22,11,0,,2,8,1,0,0,0,0,22,0
20200729,AL,83782,25915,23239,,309,,,,4527,29789,5832,40720,37228,1538,779,623,,4,,,,29,103,48,1267,223
20200729,AR,40968,20527,8673,,587,120,2103,,5456,3502,9493,31475,0,434,255,113,,6,2,31,,30,0,43,394,0
20200729,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200729,AZ,168273,29227,3822,38887,1309,9631,,,3978,81419,38887,47967,81419,3454,1372,104,946,42,430,,,57,503,946,2005,503
20200729,CA,475305,53194,13099,170398,16699,713,1806,2305,45580,171511,170398,133396,171511,8715,2516,710,3846,1073,32,47,46,109,336,3846,4533,336
20200729,CO,45796,13819,1982,15183,873,217,136,413,315,12850,15183,17755,12850,1688,1041,112,375,55,11,5,21,6,56,375,1251,56
20200729,CT,49540,17496,6469,9423,708,46,,149,299,14950,9423,25167,14950,4425,3243,654,382,48,2,,33,21,42,382,4001,42
20200729,DC,11999,2417,5908,,184,28,32,,3138,292,3199,7192,1608,584,62,431,77,8,,,,6,0,77,507,0
20200729,DE,14602,4900,3714,3756,205,,,,731,1296,3756,9550,1296,581,359,148,39,1,,,,8,26,39,516,26
20200729,FL,451123,94353,62829,113409,,,,,22877,157655,113409,145985,191729,6457,2988,1268,1547,,,,,249,405,1547,4162,748
20200729,GA,178323,40916,45551,23439,2142,96,177,,4715,61287,23439,78172,76712,3642,1656,1634,216,62,3,7,,18,46,216,3349,77
20200729,GU,354,35,,,126,,128,,44,21,,,,5,,,,,,,,,5,,,5
20200729,HI,1865,241,12,,424,,468,,39,681,,,,26,,,,,,,,,26,,,
20200729,IA,43362,29054,3469,,2168,433,433,,433,7372,8673,28187,6938,849,680,38,,24,5,11,,3,84,56,687,101
20200729,ID,19679,9421,235,,161,132,60,646,2289,6735,3458,6697,9523,173,159,3,,2,3,,,3,3,20,150,3
20200729,IL,176366,40935,29105,52814,4664,241,406,,6513,41688,52814,81864,41688,7654,3327,2045,1556,355,10,9,,51,301,1556,5797,109
20200729,IN,64299,30602,7359,,836,,,,10704,14798,6960,22116,35223,2932,1773,384,,15,,,,365,395,54,1425,1254
20200729,KS,26870,17571,2003,,954,179,,,1454,4709,8933,12134,5803,349,250,63,,9,3,,,14,10,54,280,15
20200729,KY,28727,14885,2277,,516,86,39,1115,,9809,2689,15557,10481,724,543,96,,11,0,,16,,58,27,611,86
20200729,LA,112773,37524,41962,,5120,260,133,,9557,18217,,,112773,3883,1803,1884,,26,4,5,,19,142,77,3494,312
20200729,MA,116684,36260,10934,22789,2456,,,,6297,37948,22789,55947,37948,8580,6449,703,599,219,,,,551,59,599,7922,59
20200729,MD,86285,18746,26189,21311,1625,,,,3984,14430,21311,50544,14430,3478,1476,1414,395,132,,,,35,26,395,3057,26
20200729,ME,3866,2372,867,,102,6,2,26,115,376,152,3081,633,121,107,4,,,,,,0,10,0,100,21
20200729,MI,88974,37102,23234,,1733,341,,5830,5312,15422,7117,57833,24022,6422,3338,2537,,78,19,,101,123,226,128,5330,963
20200729,MN,52947,24013,10912,,3350,455,109,907,6252,6949,10320,34081,8546,1629,1271,149,,70,32,3,22,25,57,71,1494,64
20200729,MO,46750,22440,10285,,,,,1870,0,12155,4675,28517,13557,1220,724,403,,,,,8,39,43,37,1033,148
20200729,MP,40,,,,,,,,,40,,,,2,,,,,,,,,2,,,
20200729,MS,55804,16491,23995,1920,178,1197,,,4719,7304,1920,33989,19895,1563,649,780,24,0,76,,,19,15,24,1396,143
20200729,MT,3676,2031,21,,9,420,,,32,1163,156,2305,1215,54,23,,,,11,,,,20,,,
20200729,NC,117850,47213,20252,,1460,1192,234,,13907,33592,31951,44798,41101,1865,1047,576,,27,27,3,,122,63,185,1542,138
20200729,ND,6227,,,,,,,,,6227,,,,92,,,,,,,,,92,,,
20200729,NE,25422,15000,1600,,1300,284,37,,1700,5501,9700,9400,6322,324,245,24,,18,9,0,,12,16,76,209,39
20200729,NH,6513,4175,338,718,171,,,,248,863,718,4932,863,411,382,9,11,4,,,,1,4,11,396,4
20200729,NJ,180766,39523,18566,33084,5512,,,,12393,71688,33084,75994,71688,15798,7366,2491,2762,752,,,,247,2180,2762,10856,2180
20200729,NM,20136,2661,374,7965,128,7516,,,,1492,7965,10679,1492,632,98,4,59,1,236,,,,234,59,339,234
20200729,NV,45806,8709,2303,9821,2070,133,,,5313,17457,9821,18528,17457,780,306,74,115,85,4,,,11,185,115,480,185
20200729,NY,413593,,,,,,,,,413593,,,,28247,8637,6360,6694,1687,,,,1845,3024,6694,18529,3024
20200729,OH,87893,42839,22203,,2292,112,157,2532,5912,11846,5679,60706,21508,3422,2589,657,,39,1,1,45,25,65,76,3246,100
20200729,OK,34623,19227,2431,,1680,2960,,,1358,6967,7305,19839,7479,523,388,31,,12,47,,,17,28,28,445,50
20200729,OR,17721,7261,670,,546,432,406,389,5891,2126,6825,8685,2211,311,214,8,,14,6,6,3,28,32,39,229,43
20200729,PA,110218,36166,15159,,1574,,,,1170,56149,8774,25177,76267,7162,5018,1484,,151,,,,339,170,418,6574,170
20200729,PR,16061,,,,,,,,,16061,,,,211,,,,,,,,,211,,,
20200729,RI,18800,5128,1742,6383,,,,,523,5024,6383,7393,5024,1007,666,52,87,,,,,14,188,87,732,188
