date,USA,Brazil,Italy,Spain,Russia,India,South Africa,Peru,China
3/1/2020,69,2,1128,82,2,3,0,0,79929
3/15/2020,2951,121,21157,9785,59,90,24,43,80995
4/1/2020,189618,5717,105792,111680,2337,1397,1353,1065,82295
4/15/2020,609516,25262,162488,182491,21102,11438,2415,10303,83352
5/1/2020,1069826,85380,205463,216570,106498,35043,5647,36976,83956
5/15/2020,1417889,202918,223096,230183,252245,81970,12739,80604,84029
6/1/2020,1790191,514849,233019,239638,405843,190535,32683,164476,84147
6/15/2020,2094069,867624,236989,244109,528964,332424,70038,229736,84335
7/1/2020,2634432,1402041,240578,249659,647849,585493,151209,285213,84785
7/15/2020,3431574,1926824,243344,257494,739947,936181,298292,333867,85226
8/1/2020,4562037,2662485,247537,288522,839981,1695988,493183,414735,87655
8/15/2020,5313080,3275520,252809,342813,912823,2526192,579140,516296,89214
